,accommodates,bedrooms,bathrooms,beds,price,minimum_nights,maximum_nights,number_of_reviews
7907,3,1.0,1.0,2.0,50.0,5,1125,26
3998,2,1.0,1.0,2.0,50.0,1,14,8
2793,2,1.0,1.0,2.0,80.0,3,1125,7
58,4,1.0,1.0,2.0,115.0,30,305,260
3237,5,1.0,1.0,3.0,87.0,4,40,55
3070,2,0.0,1.0,1.0,99.0,6,25,32
6438,2,0.0,1.0,1.0,50.0,60,1125,24
5250,2,1.0,1.0,1.0,130.0,1,7,9
3600,4,2.0,2.0,4.0,180.0,3,30,75
2267,4,1.0,1.0,2.0,110.0,1,450,108
5217,2,1.0,1.0,1.0,55.0,5,1125,12
5067,4,1.0,1.0,2.0,133.0,5,30,11
6834,2,0.0,1.0,1.0,45.0,2,30,3
7405,1,1.0,1.0,1.0,45.0,3,1125,1
1640,4,1.0,1.0,4.0,110.0,3,90,79
3541,2,1.0,1.0,1.0,95.0,3,120,38
5413,2,1.0,1.0,2.0,100.0,2,1125,99
647,2,1.0,1.0,1.0,65.0,3,365,12
970,2,1.0,2.0,1.0,108.0,3,30,201
491,4,2.0,1.0,2.0,190.0,2,21,13
7250,2,1.0,1.0,1.0,70.0,3,14,4
5620,4,1.0,1.0,2.0,50.0,5,20,15
389,3,1.0,1.0,1.0,60.0,3,365,12
811,2,1.0,1.0,0.0,95.0,2,300,53
1476,6,2.0,1.0,4.0,170.0,3,30,56
1268,2,1.0,1.0,1.0,65.0,2,20,90
340,2,1.0,1.0,1.0,95.0,1,365,120
6346,3,0.0,1.0,2.0,99.0,2,15,197
5142,4,2.0,1.0,2.0,165.0,30,300,44
3864,2,1.0,1.0,1.0,65.0,4,365,12
2815,5,3.0,1.0,3.0,120.0,4,15,1
7817,4,1.0,1.0,2.0,54.0,3,33,30
4095,5,2.0,1.0,3.0,280.0,3,1125,18
2477,4,1.0,1.0,1.0,160.0,4,1125,1
2327,7,2.0,1.0,5.0,155.0,2,200,146
5565,3,1.0,1.0,0.0,79.0,2,21,213
3257,4,1.0,1.0,1.0,110.0,1,1124,6
5001,2,1.0,1.0,1.0,78.0,2,365,17
1849,2,1.0,1.0,1.0,45.0,1,1125,1
1959,4,2.0,1.5,2.0,189.0,6,240,54
4618,6,3.0,2.0,3.0,300.0,5,21,5
5771,4,2.0,1.0,3.0,89.0,5,21,104
108,3,1.0,1.0,2.0,85.0,3,90,2
6872,4,2.0,1.0,2.0,100.0,1,1125,2
7635,3,2.0,1.0,1.0,90.0,5,15,35
1341,2,1.0,1.0,1.0,65.0,2,10,125
6905,4,2.0,1.0,3.0,120.0,2,1125,18
2536,3,1.0,1.0,2.0,80.0,5,100,19
1561,3,2.0,1.0,1.0,60.0,3,30,2
7073,2,1.0,1.0,1.0,98.0,5,30,2
2918,3,1.0,1.0,1.0,89.0,7,92,7
2297,2,1.0,1.0,0.0,110.0,5,20,128
6725,2,1.0,1.0,1.0,95.0,2,90,85
226,2,1.0,1.0,0.0,128.0,7,31,69
3105,4,1.0,1.0,3.0,125.0,5,75,34
977,3,2.0,1.0,2.0,270.0,2,28,70
1403,3,0.0,1.0,4.0,70.0,4,365,164
7620,2,0.0,1.0,1.0,35.0,4,20,11
4284,3,1.0,1.0,3.0,50.0,30,305,116
6893,5,3.0,2.0,4.0,150.0,5,15,3
7507,4,1.0,1.0,2.0,49.0,2,1125,1
3391,8,2.0,2.0,4.0,195.0,4,1125,103
46,3,0.0,1.0,0.0,72.0,3,365,451
1469,2,1.0,1.0,1.0,80.0,2,60,17
4280,4,1.0,1.0,2.0,90.0,5,50,113
5241,5,4.0,1.0,4.0,180.0,1,1125,0
902,2,1.0,7.0,1.0,24.0,1,100,188
2589,4,1.0,1.0,2.0,70.0,2,1125,9
20,2,1.0,1.0,1.0,78.0,5,9,339
3106,2,1.0,1.0,1.0,70.0,5,60,53
494,8,4.0,1.0,9.0,250.0,6,30,27
2530,2,1.0,1.0,1.0,55.0,7,14,2
4564,4,2.0,1.0,3.0,150.0,4,1125,4
7012,5,1.0,1.5,2.0,135.0,1124,1125,94
1181,1,1.0,1.0,1.0,70.0,5,30,135
4154,3,1.0,1.0,2.0,85.0,5,21,56
5390,2,0.0,1.0,1.0,60.0,1,1125,327
4703,2,1.0,1.0,1.0,35.0,6,1125,5
5009,4,1.0,1.0,2.0,110.0,3,1125,70
1844,2,1.0,1.0,1.0,65.0,3,1125,1
1647,4,2.0,1.0,3.0,100.0,4,16,8
1092,2,1.0,1.0,1.0,50.0,3,1125,6
5016,5,2.0,1.0,4.0,95.0,4,1125,22
3920,4,1.0,1.0,2.0,60.0,1,1125,0
6869,2,1.0,1.0,1.0,75.0,3,1125,6
7484,4,1.0,1.0,2.0,50.0,3,1125,9
7861,3,2.0,1.0,2.0,100.0,7,1125,0
5453,5,4.0,1.5,4.0,200.0,5,30,4
5808,4,2.0,1.0,2.0,120.0,2,14,8
3254,2,2.0,1.0,1.0,35.0,2,120,26
6770,3,1.0,1.0,1.0,45.0,1,1125,1
4322,2,1.0,1.0,1.0,85.0,2,1125,11
1425,4,2.0,1.0,2.0,68.0,2,21,48
2090,4,2.0,2.0,2.0,226.0,5,365,55
130,4,1.0,1.0,1.0,60.0,4,30,1
5140,2,0.0,1.0,1.0,45.0,5,1125,11
1596,1,1.0,2.0,1.0,43.0,7,100,54
2620,3,2.0,1.5,2.0,125.0,3,1125,3
6953,2,1.0,1.0,1.0,90.0,2,1125,20
2348,2,1.0,1.0,1.0,90.0,4,30,3
6981,4,1.0,1.0,2.0,140.0,3,1125,189
1390,2,1.0,1.0,1.0,70.0,2,30,50
7782,2,1.0,1.0,1.0,75.0,5,1125,251
5152,2,1.0,1.0,1.0,60.0,1,1125,0
5509,3,2.0,1.0,1.0,150.0,5,1125,3
7706,1,0.0,1.0,1.0,29.0,4,1125,0
3187,3,1.0,1.0,0.0,65.0,4,1125,46
7257,4,2.0,1.0,2.0,80.0,2,1125,1
2928,6,1.0,1.0,3.0,100.0,2,31,18
4878,3,0.0,1.0,2.0,77.0,10,1125,0
6021,2,0.0,1.0,1.0,55.0,2,21,0
2370,4,2.0,2.0,0.0,325.0,3,365,10
2984,4,0.0,1.0,2.0,55.0,4,120,46
3948,2,1.0,1.0,1.0,129.0,3,30,62
6361,4,2.0,1.0,2.0,139.0,2,12,36
1344,5,1.0,1.0,2.0,75.0,30,305,25
7236,4,1.0,1.0,1.0,180.0,2,1125,129
6038,2,1.0,1.0,1.0,140.0,6,1125,0
5079,2,1.0,1.0,1.0,85.0,3,1125,15
7849,2,0.0,1.0,1.0,50.0,5,1125,126
5500,2,1.0,1.0,1.0,72.0,4,1125,4
7421,2,0.0,1.0,1.0,70.0,3,1125,39
2681,4,1.0,1.0,1.0,120.0,3,1125,24
956,2,1.0,1.0,1.0,70.0,7,1125,0
2449,2,1.0,1.0,1.0,80.0,3,10,0
1325,2,1.0,1.0,1.0,59.0,2,120,52
2093,2,1.0,1.0,1.0,65.0,4,13,25
6188,4,2.0,1.0,2.0,200.0,7,1125,0
7913,2,1.0,1.0,1.0,52.0,3,1125,33
2654,2,1.0,1.0,1.0,95.0,6,60,26
5338,2,1.0,1.0,1.0,40.0,2,31,67
6769,2,1.0,1.0,1.0,50.0,6,14,12
993,1,1.0,1.0,2.0,35.0,3,1125,3
3183,2,1.0,1.0,1.0,110.0,2,20,58
7778,6,2.0,1.5,4.0,265.0,5,60,49
3244,2,1.0,1.0,1.0,80.0,1000,1124,13
7513,6,3.0,2.5,5.0,550.0,3,1125,56
4439,2,1.0,1.0,1.0,50.0,3,1125,0
5044,4,2.0,1.0,2.0,69.0,3,35,4
2827,4,1.0,1.0,2.0,70.0,4,1125,0
5377,5,2.0,1.0,3.0,120.0,6,20,55
7243,4,2.0,1.0,3.0,80.0,3,1125,11
703,4,3.0,1.0,3.0,180.0,99,100,7
3044,4,1.0,1.0,1.0,110.0,3,1125,20
4142,4,2.0,2.5,2.0,519.0,4,14,9
7305,4,1.0,1.0,2.0,65.0,3,1125,41
7175,4,1.0,1.0,2.0,60.0,15,1125,0
2101,1,1.0,1.0,1.0,80.0,6,730,16
538,3,1.0,1.0,2.0,80.0,5,1125,34
5624,2,0.0,1.0,1.0,55.0,1,1125,0
3663,3,1.0,1.0,1.0,130.0,2,1125,58
4122,2,1.0,1.5,1.0,35.0,1,1125,362
530,2,1.0,1.5,1.0,85.0,6,180,18
1237,2,1.0,1.0,1.0,65.0,2,7,6
2744,2,1.0,1.0,1.0,80.0,5,365,4
6208,2,1.0,1.0,2.0,60.0,2,28,4
3700,2,0.0,1.0,1.0,85.0,3,1125,1
3571,2,1.0,1.0,2.0,70.0,1,1125,3
2639,2,1.0,1.0,1.0,50.0,15,22,0
6516,4,2.0,1.0,2.0,60.0,14,14,0
3000,4,1.0,2.0,2.0,125.0,3,1125,26
6763,2,0.0,1.0,1.0,100.0,5,1125,3
757,6,2.0,1.5,3.0,80.0,4,16,4
6606,2,1.0,1.0,1.0,180.0,4,7,0
3887,6,3.0,2.0,3.0,142.0,4,14,30
3503,2,1.0,1.0,1.0,100.0,5,65,40
1881,2,1.0,1.0,1.0,50.0,2,1125,105
5776,4,1.0,1.0,2.0,140.0,4,1125,51
2613,6,3.0,2.0,3.0,160.0,5,1125,55
5062,4,2.0,1.0,2.0,140.0,3,21,4
4556,2,0.0,1.0,1.0,37.0,3,14,58
3499,2,0.0,1.0,1.0,50.0,2,1125,0
1583,2,1.0,1.0,1.0,130.0,2,3,261
4805,4,2.0,1.0,3.0,120.0,2,30,94
7307,2,0.0,1.0,1.0,70.0,3,21,64
5542,4,1.0,1.0,2.0,150.0,1,1125,0
165,4,1.0,1.0,2.0,155.0,30,365,18
6245,4,1.0,1.0,2.0,125.0,1,1125,0
3809,4,1.0,1.0,2.0,95.0,4,1125,84
2859,4,2.0,1.0,3.0,95.0,4,5,23
4816,2,1.0,1.0,1.0,80.0,14,1125,9
1532,4,1.0,1.0,2.0,60.0,1,1125,134
4260,5,2.0,1.0,4.0,99.0,3,15,17
2454,3,1.0,1.0,2.0,40.0,7,100,0
1014,3,1.0,1.0,3.0,110.0,7,1125,52
3365,2,0.0,1.0,1.0,60.0,1,31,18
6362,4,2.0,1.0,3.0,80.0,14,1125,4
1407,4,2.0,1.0,3.0,120.0,2,60,20
6317,4,2.0,2.0,4.0,250.0,1,1125,0
6357,4,1.0,1.0,2.0,65.0,2,1125,6
6628,2,0.0,1.0,1.0,37.0,3,1125,39
1859,6,2.0,1.0,3.0,190.0,5,90,74
435,4,4.0,2.5,5.0,100.0,5,15,5
3037,3,1.0,1.0,1.0,136.0,6,30,28
6050,2,1.0,1.0,1.0,60.0,1,2,7
451,4,2.0,1.0,2.0,86.0,2,30,40
4098,6,3.0,2.5,4.0,700.0,5,1125,1
3947,5,2.0,1.5,3.0,109.0,4,1125,2
2475,6,3.0,1.0,4.0,180.0,3,1125,16
5318,4,1.0,1.0,1.0,74.0,10,1125,3
5220,2,0.0,1.0,1.0,45.0,1,1125,0
2356,3,2.0,1.0,2.0,550.0,3,30,17
5606,3,2.0,1.5,2.0,98.0,5,1124,1
5230,3,2.0,1.0,2.0,110.0,3,100,6
6712,2,0.0,1.0,1.0,90.0,4,1125,10
6183,6,3.0,2.0,3.0,328.0,2,1125,21
6343,4,2.0,1.0,2.0,250.0,4,30,1
1343,5,3.0,2.0,3.0,85.0,5,21,15
1642,2,1.0,1.0,1.0,120.0,1,28,11
7386,2,1.0,1.0,2.0,25.0,2,7,13
3151,2,0.0,1.0,1.0,109.0,91,1125,8
7067,4,1.0,1.0,1.0,150.0,3,15,69
5766,2,0.0,1.0,1.0,49.0,15,31,0
7209,1,0.0,1.0,1.0,60.0,2,1125,112
2135,4,2.0,2.0,3.0,120.0,30,365,2
6004,3,1.0,1.0,1.0,60.0,1,1125,0
5921,2,1.0,1.0,0.0,78.0,3,1125,68
6687,3,2.0,1.0,2.0,95.0,2,20,0
3490,4,1.0,1.0,2.0,99.0,2,1125,10
5259,1,1.0,1.0,1.0,35.0,5,50,14
6150,2,0.0,1.0,1.0,57.0,7,30,0
2420,7,2.0,1.0,5.0,350.0,7,1124,5
2018,6,2.0,1.0,3.0,150.0,2,14,76
6105,4,1.0,1.0,2.0,85.0,5,36,15
5476,3,1.0,1.0,2.0,70.0,14,31,1
1976,2,1.0,1.0,1.0,69.0,5,60,47
197,2,1.0,1.0,1.0,135.0,6,60,44
2979,1,1.0,1.0,1.0,52.0,1,20,37
4956,2,1.0,1.0,1.0,80.0,5,11,10
3088,4,1.0,1.0,2.0,80.0,3,30,48
1822,4,1.0,2.0,0.0,199.0,2,1125,181
873,1,1.0,1.0,1.0,39.0,1,600,133
5404,1,1.0,1.0,1.0,35.0,7,31,6
3320,4,1.0,1.0,2.0,95.0,3,1125,70
3035,4,2.0,2.0,2.0,130.0,7,1125,9
6314,3,1.0,1.0,2.0,80.0,1,1125,0
5556,6,3.0,1.0,1.0,147.0,2,1124,33
1174,5,2.0,1.0,4.0,95.0,2,45,14
5845,4,1.0,1.0,2.0,70.0,5,1125,8
4157,2,0.0,1.0,1.0,50.0,3,1125,12
3372,3,1.0,1.0,1.0,70.0,5,5,3
1479,3,0.0,1.0,2.0,105.0,3,16,44
1262,2,1.0,1.0,1.0,60.0,2,20,11
5552,4,2.0,0.0,2.0,105.0,3,7,8
7399,2,1.0,1.0,1.0,120.0,5,1125,62
6216,2,1.0,1.0,1.0,35.0,59,1125,5
4017,3,1.0,1.0,1.0,75.0,5,80,5
6204,2,0.0,1.0,1.0,55.0,1,1125,37
5721,2,1.0,1.0,1.0,200.0,1,1125,10
4560,4,1.0,1.0,2.0,240.0,3,120,73
6858,3,1.0,1.0,2.0,60.0,3,1125,31
7767,2,1.0,0.5,1.0,30.0,4,1125,2
722,7,4.0,2.0,4.0,300.0,3,30,43
6546,2,1.0,1.0,1.0,110.0,2,1124,53
2303,2,0.0,1.0,0.0,65.0,1,31,2
5604,4,1.0,1.0,1.0,90.0,1,1125,0
1145,4,3.0,1.0,3.0,110.0,3,31,6
822,4,0.0,1.0,2.0,130.0,2,365,105
2154,1,1.0,1.0,1.0,40.0,1,2,40
7262,3,2.0,1.0,4.0,145.0,6,1125,23
4320,4,2.0,1.5,4.0,190.0,4,21,2
253,1,0.0,0.5,1.0,59.0,10,365,36
5325,4,1.0,1.0,2.0,140.0,2,1125,23
5002,2,1.0,1.0,1.0,45.0,1,1125,4
5978,6,2.0,1.0,6.0,150.0,7,60,3
5626,2,1.0,1.0,0.0,40.0,1,1125,56
7770,4,3.0,1.0,3.0,190.0,2,1125,32
7978,5,2.0,1.0,4.0,110.0,3,1125,33
4417,6,3.0,2.5,3.0,295.0,5,1125,35
4198,6,3.0,2.0,3.0,128.0,3,1125,11
5277,2,1.0,1.0,1.0,225.0,4,30,8
6979,14,6.0,5.5,8.0,500.0,4,30,64
6434,2,0.0,1.0,1.0,60.0,4,1125,2
1573,6,2.0,1.5,3.0,135.0,3,365,191
4086,4,2.0,1.0,2.0,160.0,1,1125,3
7001,2,1.0,1.0,1.0,95.0,2,20,42
1204,3,1.0,7.0,3.0,45.0,1,100,248
2742,2,1.0,1.0,1.0,65.0,3,28,39
3100,4,1.0,1.0,2.0,75.0,1,35,41
3774,2,1.0,1.0,1.0,60.0,2,1125,1
719,2,1.0,1.0,1.0,78.0,5,30,60
3458,4,0.0,1.0,2.0,59.0,4,80,3
5861,2,1.0,1.0,1.0,80.0,7,1125,7
1708,1,1.0,1.0,1.0,40.0,2,5,10
465,4,2.0,1.0,5.0,151.0,3,60,48
7458,2,0.0,1.0,1.0,70.0,2,1125,23
4202,4,1.0,1.0,2.0,98.0,5,1125,57
4334,4,1.0,1.0,0.0,148.0,3,1125,32
2920,2,1.0,1.0,1.0,59.0,4,1125,40
1666,3,1.0,1.0,2.0,80.0,5,1125,15
1199,4,2.0,1.0,2.0,80.0,2,15,9
5855,2,0.0,1.0,1.0,49.0,3,1125,138
6102,2,1.0,1.0,1.0,30.0,2,1125,2
2170,6,3.0,3.0,3.0,822.0,3,1125,7
4600,5,2.0,1.0,3.0,115.0,2,12,86
685,9,4.0,2.0,7.0,150.0,7,42,1
2181,4,2.0,1.0,3.0,150.0,45,90,77
159,2,1.0,1.0,2.0,71.0,14,365,35
5916,5,2.0,1.0,2.0,78.0,5,90,19
3509,5,3.0,1.0,3.0,195.0,3,12,45
681,2,1.0,1.0,1.0,85.0,15,1125,6
6146,5,2.0,1.0,3.0,100.0,6,30,13
787,3,1.0,1.0,1.0,150.0,5,20,12
1930,1,1.0,1.0,1.0,53.0,30,300,95
4245,2,0.0,1.0,1.0,60.0,3,1125,0
659,2,1.0,1.0,1.0,80.0,3,30,160
6602,3,1.0,1.0,1.0,80.0,5,1125,3
7084,4,2.0,1.0,2.0,220.0,3,1125,73
6341,4,3.0,1.0,6.0,120.0,1,1125,2
6064,4,2.0,2.0,3.0,200.0,1,1125,0
4201,2,0.0,1.0,1.0,60.0,2,100,260
5919,4,1.0,1.0,4.0,130.0,3,120,97
6368,5,2.0,1.5,3.0,150.0,1,1125,0
3283,5,2.0,1.0,2.0,195.0,91,1125,21
5270,4,2.0,1.0,3.0,105.0,4,1125,3
5859,2,1.0,1.0,1.0,41.0,3,1125,13
3379,4,2.0,2.0,3.0,170.0,120,1125,2
1492,4,1.0,1.0,1.0,150.0,2,90,76
2863,4,1.0,1.0,2.0,150.0,6,40,38
6139,2,1.0,1.0,1.0,95.0,5,21,0
814,6,2.0,1.5,4.0,168.0,4,180,146
4514,4,0.0,1.0,2.0,78.0,2,10,63
1201,7,2.0,1.5,6.0,98.0,3,90,120
3527,1,1.0,1.0,1.0,49.0,1,1125,95
5704,2,1.0,1.0,1.0,100.0,2,1125,18
3554,3,2.0,1.0,2.0,100.0,1,8,2
6396,2,1.0,1.0,1.0,60.0,1,1125,0
3442,2,1.0,1.0,1.0,200.0,2,6,25
556,3,1.0,1.0,1.0,80.0,12,100,16
800,2,1.0,1.0,1.0,42.0,8,600,134
3370,3,1.0,1.0,1.0,100.0,4,60,0
986,3,1.0,1.0,2.0,65.0,5,45,17
4807,2,0.0,1.0,1.0,48.0,7,1125,12
1206,2,1.0,1.0,1.0,55.0,5,1125,9
3555,6,3.0,1.0,3.0,90.0,5,60,32
321,4,1.0,1.0,2.0,73.0,90,365,6
124,4,1.0,1.0,1.0,120.0,3,31,12
6408,2,0.0,1.0,2.0,53.0,5,1125,113
7412,2,1.0,1.0,1.0,48.0,7,20,0
4063,4,1.0,1.0,2.0,110.0,3,20,17
5735,3,0.0,1.0,1.0,50.0,7,1125,5
6547,4,1.0,1.0,2.0,135.0,3,30,1
6085,2,1.0,0.5,1.0,70.0,7,15,0
4099,8,3.0,2.0,5.0,420.0,1,1125,67
5750,2,1.0,1.0,1.0,90.0,5,30,3
1724,2,1.0,1.0,1.0,99.0,2,365,258
859,4,1.0,1.0,2.0,130.0,1,1125,469
6864,4,1.0,1.0,2.0,70.0,1,1125,0
119,2,1.0,1.0,1.0,31.0,2,365,256
3357,3,1.0,1.0,3.0,120.0,3,1125,51
1200,3,1.0,1.0,1.0,80.0,4,1125,9
2848,2,0.0,1.0,0.0,31.0,5,35,39
3433,3,1.0,1.0,2.0,90.0,3,40,72
1998,2,1.0,1.0,1.0,120.0,2,487,138
7198,2,1.0,1.0,1.0,100.0,3,90,153
1827,4,1.0,1.0,2.0,60.0,3,1125,3
1042,4,2.0,1.0,2.0,160.0,3,30,95
2134,4,0.0,1.0,2.0,200.0,3,365,14
667,7,4.0,2.0,3.0,80.0,3,35,7
4427,4,3.0,1.0,4.0,216.0,3,1125,61
1582,4,1.0,1.0,0.0,120.0,2,300,266
1600,4,1.0,1.0,1.0,60.0,1,1125,174
5681,2,1.0,1.0,1.0,44.0,3,1125,20
4402,3,2.0,1.0,2.0,70.0,3,3,97
6731,4,1.0,1.0,2.0,160.0,2,1125,0
5392,4,1.0,1.0,2.0,89.0,10,28,0
5109,2,1.0,0.5,1.0,53.0,6,21,59
5411,3,1.0,1.0,2.0,80.0,1,3,2
7799,6,3.0,2.0,3.0,300.0,7,30,1
3197,1,1.0,1.0,1.0,95.0,2,1125,8
1811,10,4.0,3.0,7.0,517.0,2,30,53
5799,2,1.0,1.0,1.0,78.0,3,1125,5
7940,2,1.0,1.0,1.0,90.0,3,1125,4
4085,5,2.0,1.0,2.0,75.0,4,1125,20
700,2,1.0,0.5,1.0,99.0,2,7,0
3333,2,0.0,0.0,2.0,125.0,4,100,126
6908,2,1.0,1.0,1.0,50.0,1,20,39
1239,2,1.0,7.0,1.0,28.0,1,100,216
7891,2,0.0,1.0,1.0,70.0,2,1124,51
3164,4,2.0,2.0,4.0,215.0,4,30,6
1025,3,1.0,1.0,1.0,75.0,3,30,44
94,6,2.0,1.0,4.0,215.0,3,27,40
5252,3,1.0,1.0,2.0,100.0,4,1125,55
3999,4,1.0,1.0,2.0,68.0,3,1125,70
6002,2,1.0,1.0,1.0,38.0,1,967,75
7432,5,3.0,1.0,3.0,160.0,3,1125,23
1634,4,1.0,1.0,0.0,70.0,6,30,34
6385,4,1.0,3.5,2.0,150.0,1,1125,1
2124,4,0.0,1.0,2.0,167.0,3,365,10
3806,5,2.0,1.0,3.0,130.0,4,1125,39
7382,3,1.0,1.0,2.0,50.0,3,40,31
2604,2,1.0,1.0,0.0,80.0,3,8,39
7407,2,1.0,1.0,1.0,90.0,5,30,5
2603,6,3.0,1.0,3.0,150.0,2,21,2
